Layer, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,224,224,7,7,3,64,2,
CBa2a_1,56,56,3,3,64,64,1,
CBa2a_2,56,56,3,3,64,64,1,
CBa2b_1,56,56,3,3,64,64,1,
CBa2b_2,56,56,3,3,64,64,1,
CBa3a_1,56,56,3,3,64,128,2,
CBa3a_2,28,28,3,3,128,128,1,
CBa3b_1,28,28,3,3,128,128,1,
CBa3b_2,28,28,3,3,128,128,1,
CBa3s, 56, 56, 1, 1, 64, 128, 2,
CBa4a_1,28,28,3,3,128,256,2,
CBa4a_2,14,14,3,3,256,256,1,
CBa4b_1,14,14,3,3,256,256,1,
CBa4b_2,14,14,3,3,256,256,1,
CBa4s, 28, 28, 1, 1, 128, 256, 2,
CBa5a_1,14,14,3,3,256,512,2,
CBa5a_2,7,7,3,3,512,512,1,
CBa5b_1,7,7,3,3,512,512,1,
CBa5b_2,7,7,3,3,512,512,1,
CBa5s, 14, 14, 1, 1, 256, 512, 2,
FC6, 1, 1, 1, 1, 512, 1000, 1e
