layer_type,non_zero_grads_ratio
Conv1,0.805714225769043
Conv2a,0.5685239791870117
Conv2a,0.5685239791870117
Conv2b,0.6402950286865234
Conv2b,0.6402950286865234
Conv3a,0.535699462890625
Conv3a,0.535699462890625
Conv3b,0.717681884765625
Conv3b,0.717681884765625
Conv3s,0.6103153228759766
Conv4a,0.5158203125
Conv4a,0.5158203125
Conv4b,0.6926773071289063
Conv4b,0.6926773071289063
Conv4s,0.5816085815429688
Conv5a,0.44278717041015625
Conv5a,0.44278717041015625
Conv5b,0.6405014038085938
Conv5b,0.6405014038085938
Conv5s,0.37292633056640623
FC6,0.66875
